Type:Windows.ApplicationModel:DesignMode
Method:Windows.UI.Xaml.Controls:ItemsControl:OnGroupStyleSelectorChanged:Void:(ItemsControl oldGroupStyleSelector|ItemsControl newGroupStyleSelector)
Method:Windows.UI.Xaml.Controls:ItemsControl:OnItemContainerStyleChanged:Void:(ItemsControl oldItemContainerStyle|ItemsControl newItemContainerStyle)
Method:Windows.UI.Xaml.Controls:ItemsControl:OnItemContainerStyleSelectorChanged:Void:(ItemsControl oldItemContainerStyleSelector|ItemsControl newItemContainerStyleSelector)
Method:Windows.UI.Xaml.Controls:ItemsControl:OnItemsChanged:Void:(ItemsControl e)
Method:Windows.UI.Xaml.Controls:ItemsControl:OnItemTemplateChanged:Void:(ItemsControl oldItemTemplate|ItemsControl newItemTemplate)
Method:Windows.UI.Xaml.Controls:ItemsControl:OnItemTemplateSelectorChanged:Void:(ItemsControl oldItemTemplateSelector|ItemsControl newItemTemplateSelector)
Method:Windows.UI.Xaml.Controls:ItemsControl:PrepareContainerForItemOverride:Void:(ItemsControl element|ItemsControl item)
Type:Windows.UI.Xaml.Controls:ItemsPanelTemplate
Constructor:Windows.UI.Xaml.Controls:ItemsPanelTemplate:.ctor:ItemsPanelTemplate:()
Type:Windows.UI.Xaml.Controls:ItemsPresenter
Constructor:Windows.UI.Xaml.Controls:ItemsPresenter:.ctor:ItemsPresenter:()
Property:Windows.UI.Xaml.Controls:ItemsPresenter:AreHorizontalSnapPointsRegular:Boolean:{get;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:AreVerticalSnapPointsRegular:Boolean:{get;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:Footer:Object:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:FooterProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:FooterTemplate:DataTemplate:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:FooterTemplateProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:FooterTransitions:TransitionCollection:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:FooterTransitionsProperty:DependencyProperty:{get;}
Method:Windows.UI.Xaml.Controls:ItemsPresenter:GetIrregularSnapPoints:IReadOnlyList<Single>:(ItemsPresenter orientation|ItemsPresenter alignment)
Method:Windows.UI.Xaml.Controls:ItemsPresenter:GetRegularSnapPoints:Single:(ItemsPresenter orientation|ItemsPresenter alignment|ItemsPresenter offset)
Property:Windows.UI.Xaml.Controls:ItemsPresenter:Header:Object:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:HeaderProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:HeaderTemplate:DataTemplate:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:HeaderTemplateProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:HeaderTransitions:TransitionCollection:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:HeaderTransitionsProperty:DependencyProperty:{get;}
Event:Windows.UI.Xaml.Controls:ItemsPresenter:HorizontalSnapPointsChanged:EventHandler<Object>
Property:Windows.UI.Xaml.Controls:ItemsPresenter:Padding:Thickness:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsPresenter:PaddingProperty:DependencyProperty:{get;}
Event:Windows.UI.Xaml.Controls:ItemsPresenter:VerticalSnapPointsChanged:EventHandler<Object>
Type:Windows.UI.Xaml.Controls:ItemsStackPanel
Constructor:Windows.UI.Xaml.Controls:ItemsStackPanel:.ctor:ItemsStackPanel:()
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:CacheLength:Double:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:CacheLengthProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:FirstCacheIndex:Int32:{get;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:FirstVisibleIndex:Int32:{get;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:GroupHeaderPlacement:GroupHeaderPlacement:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:GroupHeaderPlacementProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:GroupPadding:Thickness:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:GroupPaddingProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:ItemsUpdatingScrollMode:ItemsUpdatingScrollMode:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:LastCacheIndex:Int32:{get;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:LastVisibleIndex:Int32:{get;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:Orientation:Orientation:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:OrientationProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsStackPanel:ScrollingDirection:PanelScrollingDirection:{get;}
Type:Windows.UI.Xaml.Controls:ItemsUpdatingScrollMode
Field:Windows.UI.Xaml.Controls:ItemsUpdatingScrollMode:KeepItemsInView:ItemsUpdatingScrollMode
Field:Windows.UI.Xaml.Controls:ItemsUpdatingScrollMode:KeepScrollOffset:ItemsUpdatingScrollMode
Type:Windows.UI.Xaml.Controls:ItemsWrapGrid
Constructor:Windows.UI.Xaml.Controls:ItemsWrapGrid:.ctor:ItemsWrapGrid:()
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:CacheLength:Double:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:CacheLengthProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:FirstCacheIndex:Int32:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:FirstVisibleIndex:Int32:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:GroupHeaderPlacement:GroupHeaderPlacement:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:GroupHeaderPlacementProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:GroupPadding:Thickness:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:GroupPaddingProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:ItemHeight:Double:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:ItemHeightProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:ItemWidth:Double:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:ItemWidthProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:LastCacheIndex:Int32:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:LastVisibleIndex:Int32:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:MaximumRowsOrColumns:Int32:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:MaximumRowsOrColumnsProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:Orientation:Orientation:{get;set;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:OrientationProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ItemsWrapGrid:ScrollingDirection:PanelScrollingDirection:{get;}
Type:Windows.UI.Xaml.Controls:ListBox
Constructor:Windows.UI.Xaml.Controls:ListBox:.ctor:ListBox:()
Method:Windows.UI.Xaml.Controls:ListBox:ScrollIntoView:Void:(ListBox item)
Method:Windows.UI.Xaml.Controls:ListBox:SelectAll:Void:()
Property:Windows.UI.Xaml.Controls:ListBox:SelectedItems:IList<Object>:{get;}
Property:Windows.UI.Xaml.Controls:ListBox:SelectionMode:SelectionMode:{get;set;}
Property:Windows.UI.Xaml.Controls:ListBox:SelectionModeProperty:DependencyProperty:{get;}
Type:Windows.UI.Xaml.Controls:ListBoxItem
Constructor:Windows.UI.Xaml.Controls:ListBoxItem:.ctor:ListBoxItem:()
Type:Windows.UI.Xaml.Controls:ListView
Constructor:Windows.UI.Xaml.Controls:ListView:.ctor:ListView:()
Type:Windows.UI.Xaml.Controls:ListViewBase
Constructor:Windows.UI.Xaml.Controls:ListViewBase:.ctor:ListViewBase:()
Property:Windows.UI.Xaml.Controls:ListViewBase:CanDragItems:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:CanDragItemsProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:CanReorderItems:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:CanReorderItemsProperty:DependencyProperty:{get;}
Method:Windows.UI.Xaml.Controls:ListViewBase:CompleteViewChange:Void:()
Method:Windows.UI.Xaml.Controls:ListViewBase:CompleteViewChangeFrom:Void:(ListViewBase source|ListViewBase destination)
Method:Windows.UI.Xaml.Controls:ListViewBase:CompleteViewChangeTo:Void:(ListViewBase source|ListViewBase destination)
Event:Windows.UI.Xaml.Controls:ListViewBase:ContainerContentChanging:TypedEventHandler<ListViewBase,ContainerContentChangingEventArgs>
Property:Windows.UI.Xaml.Controls:ListViewBase:DataFetchSize:Double:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:DataFetchSizeProperty:DependencyProperty:{get;}
Event:Windows.UI.Xaml.Controls:ListViewBase:DragItemsStarting:DragItemsStartingEventHandler
Property:Windows.UI.Xaml.Controls:ListViewBase:Footer:Object:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:FooterProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:FooterTemplate:DataTemplate:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:FooterTemplateProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:FooterTransitions:TransitionCollection:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:FooterTransitionsProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:Header:Object:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:HeaderProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:HeaderTemplate:DataTemplate:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:HeaderTemplateProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:HeaderTransitions:TransitionCollection:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:HeaderTransitionsProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IncrementalLoadingThreshold:Double:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IncrementalLoadingThresholdProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IncrementalLoadingTrigger:IncrementalLoadingTrigger:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IncrementalLoadingTriggerProperty:DependencyProperty:{get;}
Method:Windows.UI.Xaml.Controls:ListViewBase:InitializeViewChange:Void:()
Property:Windows.UI.Xaml.Controls:ListViewBase:IsActiveView:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IsActiveViewProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IsItemClickEnabled:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IsItemClickEnabledProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IsSwipeEnabled:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IsSwipeEnabledProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IsZoomedInView:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:IsZoomedInViewProperty:DependencyProperty:{get;}
Event:Windows.UI.Xaml.Controls:ListViewBase:ItemClick:ItemClickEventHandler
Method:Windows.UI.Xaml.Controls:ListViewBase:LoadMoreItemsAsync:IAsyncOperation<LoadMoreItemsResult>:()
Method:Windows.UI.Xaml.Controls:ListViewBase:MakeVisible:Void:(ListViewBase item)
Method:Windows.UI.Xaml.Controls:ListViewBase:ScrollIntoView:Void:(ListViewBase item)
Method:Windows.UI.Xaml.Controls:ListViewBase:ScrollIntoView:Void:(ListViewBase item|ListViewBase alignment)
Method:Windows.UI.Xaml.Controls:ListViewBase:SelectAll:Void:()
Property:Windows.UI.Xaml.Controls:ListViewBase:SelectedItems:IList<Object>:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:SelectionMode:ListViewSelectionMode:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:SelectionModeProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:ListViewBase:SemanticZoomOwner:SemanticZoom:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:SemanticZoomOwnerProperty:DependencyProperty:{get;}
Method:Windows.UI.Xaml.Controls:ListViewBase:SetDesiredContainerUpdateDuration:Void:(ListViewBase duration)
Property:Windows.UI.Xaml.Controls:ListViewBase:ShowsScrollingPlaceholders:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:ListViewBase:ShowsScrollingPlaceholdersProperty:DependencyProperty:{get;}
Method:Windows.UI.Xaml.Controls:ListViewBase:StartViewChangeFrom:Void:(ListViewBase source|ListViewBase destination)
Method:Windows.UI.Xaml.Controls:ListViewBase:StartViewChangeTo:Void:(ListViewBase source|ListViewBase destination)
Type:Windows.UI.Xaml.Controls:ListViewBaseHeaderItem
Type:Windows.UI.Xaml.Controls:ListViewHeaderItem
Constructor:Windows.UI.Xaml.Controls:ListViewHeaderItem:.ctor:ListViewHeaderItem:()
Type:Windows.UI.Xaml.Controls:ListViewItem
Constructor:Windows.UI.Xaml.Controls:ListViewItem:.ctor:ListViewItem:()
Property:Windows.UI.Xaml.Controls:ListViewItem:TemplateSettings:ListViewItemTemplateSettings:{get;}
Type:Windows.UI.Xaml.Controls:ListViewSelectionMode
Field:Windows.UI.Xaml.Controls:ListViewSelectionMode:Extended:ListViewSelectionMode
Field:Windows.UI.Xaml.Controls:ListViewSelectionMode:Multiple:ListViewSelectionMode
Field:Windows.UI.Xaml.Controls:ListViewSelectionMode:None:ListViewSelectionMode
Field:Windows.UI.Xaml.Controls:ListViewSelectionMode:Single:ListViewSelectionMode
Type:Windows.UI.Xaml.Controls:MediaElement
Constructor:Windows.UI.Xaml.Controls:MediaElement:.ctor:MediaElement:()
Property:Windows.UI.Xaml.Controls:MediaElement:ActualStereo3DVideoPackingMode:Stereo3DVideoPackingMode:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:ActualStereo3DVideoPackingModeProperty:DependencyProperty:{get;}
Method:Windows.UI.Xaml.Controls:MediaElement:AddAudioEffect:Void:(MediaElement effectID|MediaElement effectOptional|MediaElement effectConfiguration)
Method:Windows.UI.Xaml.Controls:MediaElement:AddVideoEffect:Void:(MediaElement effectID|MediaElement effectOptional|MediaElement effectConfiguration)
Property:Windows.UI.Xaml.Controls:MediaElement:AreTransportControlsEnabled:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:AreTransportControlsEnabledProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AspectRatioHeight:Int32:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AspectRatioHeightProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AspectRatioWidth:Int32:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AspectRatioWidthProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AudioCategory:AudioCategory:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:AudioCategoryProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AudioDeviceType:AudioDeviceType:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:AudioDeviceTypeProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AudioStreamCount:Int32:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AudioStreamCountProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AudioStreamIndex:Nullable<Int32>:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:AudioStreamIndexProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:AutoPlay:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:AutoPlayProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:Balance:Double:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:BalanceProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:BufferingProgress:Double:{get;}
Event:Windows.UI.Xaml.Controls:MediaElement:BufferingProgressChanged:RoutedEventHandler
Property:Windows.UI.Xaml.Controls:MediaElement:BufferingProgressProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:CanPause:Boolean:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:CanPauseProperty:DependencyProperty:{get;}
Method:Windows.UI.Xaml.Controls:MediaElement:CanPlayType:MediaCanPlayResponse:(MediaElement type)
Property:Windows.UI.Xaml.Controls:MediaElement:CanSeek:Boolean:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:CanSeekProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:CurrentState:MediaElementState:{get;}
Event:Windows.UI.Xaml.Controls:MediaElement:CurrentStateChanged:RoutedEventHandler
Property:Windows.UI.Xaml.Controls:MediaElement:CurrentStateProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:DefaultPlaybackRate:Double:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:DefaultPlaybackRateProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:DownloadProgress:Double:{get;}
Event:Windows.UI.Xaml.Controls:MediaElement:DownloadProgressChanged:RoutedEventHandler
Property:Windows.UI.Xaml.Controls:MediaElement:DownloadProgressOffset:Double:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:DownloadProgressOffsetProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:DownloadProgressProperty:DependencyProperty:{get;}
Method:Windows.UI.Xaml.Controls:MediaElement:GetAudioStreamLanguage:String:(MediaElement index)
Property:Windows.UI.Xaml.Controls:MediaElement:IsAudioOnly:Boolean:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:IsAudioOnlyProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:IsFullWindow:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:IsFullWindowProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:IsLooping:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:IsLoopingProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:IsMuted:Boolean:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:IsMutedProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:IsStereo3DVideo:Boolean:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:IsStereo3DVideoProperty:DependencyProperty:{get;}
Event:Windows.UI.Xaml.Controls:MediaElement:MarkerReached:TimelineMarkerRoutedEventHandler
Property:Windows.UI.Xaml.Controls:MediaElement:Markers:TimelineMarkerCollection:{get;}
Event:Windows.UI.Xaml.Controls:MediaElement:MediaEnded:RoutedEventHandler
Event:Windows.UI.Xaml.Controls:MediaElement:MediaFailed:ExceptionRoutedEventHandler
Event:Windows.UI.Xaml.Controls:MediaElement:MediaOpened:RoutedEventHandler
Property:Windows.UI.Xaml.Controls:MediaElement:NaturalDuration:Duration:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:NaturalDurationProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:NaturalVideoHeight:Int32:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:NaturalVideoHeightProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:NaturalVideoWidth:Int32:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:NaturalVideoWidthProperty:DependencyProperty:{get;}
Method:Windows.UI.Xaml.Controls:MediaElement:Pause:Void:()
Method:Windows.UI.Xaml.Controls:MediaElement:Play:Void:()
Property:Windows.UI.Xaml.Controls:MediaElement:PlaybackRate:Double:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:PlaybackRateProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:PlayToPreferredSourceUri:Uri:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:PlayToPreferredSourceUriProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:PlayToSource:PlayToSource:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:PlayToSourceProperty:DependencyProperty:{get;}
Property:Windows.UI.Xaml.Controls:MediaElement:Position:TimeSpan:{get;set;}
Property:Windows.UI.Xaml.Controls:MediaElement:PositionProperty:DependencyProperty:{get;}
